ID,SamplingDate,Q,f_rain,f_deep,f_top,Q_rain,Q_deep,Q_top
DS01,7/6/2018 17:17,0.003010143,0.269623563,0.592657694,0.137718743,0.000811605,0.001783984,0.000414553
DS02,7/6/2018 19:39,0.002945245,0.040682739,0.498009709,0.461307552,0.000119821,0.001466761,0.001358664
DS03,7/6/2018 21:45,0.003318073,0.15826491,0.606959072,0.234776018,0.000525135,0.002013935,0.000779004
DS09,7/7/2018 10:20,0.003194277,0.067452569,0.555088919,0.377458512,0.000215462,0.001773108,0.001205707
DS10,7/7/2018 11:30,0.002817985,0.141184126,0.622899569,0.235916305,0.000397855,0.001755322,0.000664809
DS11,7/7/2018 13:30,0.005095655,0.037983452,0.229705747,0.732310801,0.000193551,0.001170501,0.003731603
DS12,7/7/2018 15:53,0.002817985,0.122388227,0.411512972,0.4660988,0.000344888,0.001159637,0.001313459
DS13,7/7/2018 17:35,0.003564213,0.139887747,0.451001406,0.409110847,0.00049859,0.001607465,0.001458158
DS14,7/7/2018 19:40,0.003075891,0.227458487,0.55138235,0.221159164,0.000699638,0.001695992,0.000680261
DS15,7/7/2018 21:35,0.002755616,0.218811966,0.502801033,0.278387,0.000602962,0.001385527,0.000767128
DS16,7/7/2018 23:50,0.00251446,0.230960461,0.495296575,0.273742964,0.000580741,0.001245403,0.000688316
DS17,7/8/2018 1:30,0.003010143,-0.022980779,0.915214512,0.107766267,-6.92E-05,0.002754927,0.000324392
DS18,7/8/2018 3:50,0.003488449,0.175435142,0.742830162,0.081734696,0.000611997,0.002591325,0.000285127
DS19,7/8/2018 5:30,0.002817985,0.090070307,0.739502966,0.170426727,0.000253817,0.002083908,0.00048026
DS20,7/8/2018 7:51,0.004034967,-0.399474277,0.98813454,0.411339738,-0.001611866,0.00398709,0.001659742
DS21,7/8/2018 9:40,0.002881193,0.157530433,0.701084326,0.141385242,0.000453876,0.002019959,0.000407358
DS22,7/8/2018 12:00,0.002881193,-1.07101937,1.379154465,0.691864905,-0.003085814,0.00397361,0.001993396
DS23,7/8/2018 14:01,0.002890603,0.149687417,0.694728771,0.155583812,0.000432687,0.002008185,0.000449731
DS24,7/8/2018 15:50,0.003856304,0.136672592,0.641103409,0.222223999,0.000527051,0.00247229,0.000856963
DS25,7/8/2018 17:30,0.003278277,0.157513709,0.608817308,0.233668983,0.000516374,0.001995872,0.000766032
