rain_m,rain_s
[0.17494236],0.02423336099020969
[8.51380279e-06],0.015319039165683467
[0.1466542],0.024412677174355066
[0.07588401],0.0290302465384131
[0.05629903],0.030453745440033916
[5.57691265e-06],0.019628026016891648
[0.13550241],0.03330294416597892
[0.14855431],0.027321050241492603
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.10476352],0.037803931483280456
[7.96203072e-06],0.014533413792810247
[0.01519043],0.023855272354006585
[0.13877742],0.02914082508306016
[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9],
[0.05057513],0.027421137604516747
[0.25853767],0.027309615874480976
[0.12423404],0.028381610665821254
